model_name,model_size,axis,n,main_score,latency_mean,memory_mean,tokens_per_second_mean,efficiency_score
Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,4000,0.0385,9.540347558365744,1.4187979522943497,17.898261643971846,0.004035492393171788
Qwen/Qwen2.5-3B-Instruct,3B,robustness,4000,0.0795,11.084486281236504,2.907041385769844,12.909348192551493,0.007172186241465722
Qwen/Qwen2.5-7B-Instruct,7B,robustness,4000,0.11475,8.531823224793502,6.2685011030435565,11.839975124872975,0.013449645752919046
