unique_key,model_name,model_size,axis,dataset,condition,latency_seconds,tokens_per_second,max_memory_allocated_gb,input_tokens,output_tokens
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000992::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.6694769559999258,5.974813567743537,2.9074926376342773,92,4
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000601::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,11.674830300999929,14.304276438664528,6.270820140838623,119,167
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000996::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.45095082399984676,6.652610085930388,2.9074926376342773,90,3
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000648::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,16.388977576000798,19.220234974344606,1.4194316864013672,87,315
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000533::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,20.265164567000284,18.94877284269895,1.4191651344299316,72,384
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000652::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,2.0303278520004824,17.238595217769628,1.4194316864013672,66,35
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000859::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,24.946700045999933,15.392817458498778,2.907773494720459,72,384
Qwen/Qwen2.5-1.5B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000430::experiment_v3_robustness_fix,Qwen/Qwen2.5-1.5B-Instruct,1.5B,robustness,robustness_gsm8k,robust_format,11.24039128899949,18.415729014930506,1.4192538261413574,91,207
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000611::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,10.74908407500061,14.326802072202721,6.271527290344238,89,154
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000538::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,14.899459608000143,14.43005354936212,6.270869731903076,85,215
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000696::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,26.78569256300034,14.336011626237642,6.271068572998047,126,384
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000615::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,1.3598324810000122,7.353846991981,6.271527290344238,101,10
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000718::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,12.442026679000264,14.868960240395902,2.9074525833129883,82,185
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000542::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,2.434106100000463,11.092367748470318,6.270869731903076,72,27
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000722::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,1.7440531049996935,11.467540720328877,2.9074525833129883,115,20
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000726::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.5044851860002382,7.928875041333942,2.9074525833129883,90,4
Qwen/Qwen2.5-7B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000605::experiment_v3_robustness_fix,Qwen/Qwen2.5-7B-Instruct,7B,robustness,robustness_gsm8k,robust_format,13.647081891999733,14.508596164874826,6.270820140838623,93,198
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_typo::gsm8k_000730::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_typo,0.40176645100018504,9.95603288936178,2.9074525833129883,61,4
Qwen/Qwen2.5-3B-Instruct::robustness::robustness_gsm8k::robust_format::gsm8k_000045::experiment_v3_robustness_fix,Qwen/Qwen2.5-3B-Instruct,3B,robustness,robustness_gsm8k,robust_format,22.367282496999906,16.094936881504776,2.9081344604492188,108,360
